,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,14,0,3,3,0,0,3,5,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0
SA02,0,14,0,0,5,3,0,0,4,0,3,1,0,0,0,0,0,0,1,0,0,2,1,0
SA03,1,0,18,0,0,0,1,3,0,5,0,0,3,0,0,0,1,0,0,2,0,0,0,0
SA04,2,0,3,20,0,0,2,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SA05,0,4,0,0,14,1,0,0,9,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2
SA06,0,3,0,0,4,9,1,0,2,1,0,4,0,1,0,0,0,0,3,1,1,2,0,2
SA07,1,1,2,0,0,0,15,2,0,2,0,0,0,1,1,1,0,0,1,1,2,3,1,0
SA08,3,0,1,5,0,0,0,15,0,4,0,0,5,0,0,0,0,1,0,0,0,0,0,0
SA09,0,4,0,0,6,2,0,0,15,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
SA10,2,0,4,1,0,0,2,4,1,16,0,0,2,0,0,0,0,0,0,1,0,0,1,0
SA11,0,1,0,0,1,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,1,0,0,5
SA12,0,1,0,0,2,1,0,0,4,0,2,19,0,0,0,0,0,0,0,0,0,0,1,4
SA13,3,0,0,2,0,0,0,7,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
SA14,0,0,0,1,0,1,0,0,0,0,0,1,0,17,0,0,1,0,4,4,0,5,0,0
SA15,0,0,0,0,0,0,1,0,0,0,0,0,0,2,22,3,0,0,0,0,1,2,3,0
SA16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1,2,1,2,3,1,4,0
SA17,0,0,2,0,0,0,4,0,0,1,0,0,0,2,0,1,17,0,1,1,1,4,0,0
SA18,0,0,0,1,0,2,1,1,0,0,0,0,0,0,1,2,1,17,0,0,1,0,7,0
SA19,0,0,0,0,0,2,0,0,0,0,0,2,0,5,0,0,4,1,17,2,1,0,0,0
SA20,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,1,0,0,4,16,0,4,2,0
SA21,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,3,0,1,0,1,20,0,3,0
SA22,1,0,0,0,0,0,3,0,0,0,0,0,0,6,0,1,3,0,1,3,0,16,0,0
SA23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,1,4,0,20,0
SE06,0,1,0,0,2,2,0,0,1,0,4,3,0,0,0,0,0,0,1,0,0,0,0,20
