,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,15,0,8,7,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
SA02,0,14,0,0,3,2,1,0,2,0,0,4,0,3,0,0,2,0,0,0,2,1,0,0
SA03,4,0,19,4,0,0,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SA04,1,0,7,21,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SA05,0,4,0,0,16,4,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3
SA06,0,2,0,0,3,9,1,0,1,0,2,2,0,2,0,0,1,0,2,2,1,3,1,2
SA07,6,1,0,3,0,1,13,0,0,2,0,0,0,1,0,1,1,1,1,1,0,0,1,1
SA08,3,0,0,1,0,0,0,14,0,6,0,0,7,0,0,2,0,1,0,0,0,0,0,0
SA09,0,4,0,0,3,2,0,0,19,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2
SA10,2,0,1,3,0,1,0,1,0,22,0,1,2,0,0,0,0,0,0,1,0,0,0,0
SA11,0,0,0,0,1,0,0,0,0,0,21,7,0,0,0,0,0,0,0,0,2,0,0,3
SA12,0,2,0,0,9,1,1,0,1,0,3,9,0,0,0,0,0,0,2,0,1,0,1,4
SA13,0,0,0,2,0,0,0,7,0,5,0,0,17,0,0,1,0,1,0,0,0,0,1,0
SA14,0,0,0,0,0,0,0,1,0,0,0,0,1,25,2,1,0,0,1,0,0,3,0,0
SA15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2,0
SA16,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,19,1,4,0,1,0,0,5,0
SA17,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,5,1,0,7,3,0
SA18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,17,0,0,4,0,5,0
SA19,2,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,3,0,18,2,0,1,2,1
SA20,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,0,3,15,0,8,2,0
SA21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,5,1,1,20,0,1,0
SA22,2,1,1,1,0,0,1,1,0,0,0,0,0,4,1,1,3,0,1,2,2,13,0,0
SA23,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,0,5,0,1,1,2,18,0
SE06,0,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,23
