,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,15,0,8,4,0,0,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
SA02,1,15,0,0,3,1,2,0,4,0,0,2,0,0,0,1,1,0,1,0,0,0,0,3
SA03,5,0,17,2,0,0,1,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SA04,4,0,6,10,0,0,1,3,0,5,0,0,3,0,0,1,0,1,0,0,0,0,0,0
SA05,0,6,0,0,18,3,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1
SA06,1,2,0,0,5,11,1,0,1,0,1,3,0,0,0,0,3,0,1,1,0,3,0,1
SA07,3,1,5,0,0,1,15,0,0,0,0,0,0,0,0,1,2,1,2,2,1,0,0,0
SA08,2,0,3,3,0,0,0,20,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0
SA09,0,4,0,0,7,1,0,0,18,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1
SA10,2,0,6,4,0,0,0,5,0,14,0,0,2,0,0,0,0,0,0,0,0,1,0,0
SA11,0,0,0,0,1,1,0,0,2,0,24,3,0,0,0,0,0,0,0,0,0,0,0,3
SA12,0,3,0,0,5,2,0,0,1,0,2,12,0,0,0,0,0,0,0,0,1,1,0,7
SA13,1,1,2,4,0,0,0,3,0,1,0,0,21,0,0,0,0,1,0,0,0,0,0,0
SA14,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,5,4,1,1,0,0
SA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,1,0,1,1,0,1,0
SA16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,5,12,1,7,0,0,2,0,4,0
SA17,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,5,3,0,5,0,1
SA18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,24,1,0,0,0,2,0
SA19,0,1,0,0,0,1,0,0,1,0,1,1,0,4,0,0,2,0,19,0,0,4,0,0
SA20,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,1,3,0,5,13,0,5,0,0
SA21,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,8,1,3,0,1,14,0,0,1
SA22,1,4,1,0,0,1,3,0,0,0,0,0,0,3,0,1,4,0,2,2,0,12,0,0
SA23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,5,0,0,6,1,11,0
SE06,0,1,0,0,4,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,23
