,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,22,0,4,2,0,0,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SA02,0,20,0,0,5,0,0,0,1,0,1,2,0,1,0,0,0,1,2,0,1,0,0,0
SA03,2,0,23,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0
SA04,4,0,3,18,0,0,2,2,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0
SA05,0,1,0,0,23,5,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1
SA06,0,1,0,0,3,17,0,0,0,1,1,1,0,0,0,0,1,0,5,1,1,1,0,1
SA07,3,0,4,0,0,3,20,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0
SA08,0,0,0,1,0,0,0,27,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0
SA09,0,5,0,0,3,1,0,0,19,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0
SA10,0,0,1,1,0,0,2,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA11,0,0,0,0,0,2,0,0,1,0,28,1,0,0,0,0,0,0,0,0,0,0,0,2
SA12,0,0,0,1,2,1,0,0,2,0,1,22,0,0,0,1,0,0,0,0,0,0,0,4
SA13,0,0,1,4,0,0,0,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0
SA14,2,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,1,0,7,1,0,0,0,0
SA15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,2,0,1,0,0,1,1,4,0
SA16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,1,0,0,4,2,4,0
SA17,0,0,1,0,0,3,0,0,0,1,0,0,0,1,0,0,20,0,4,0,0,4,0,0
SA18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,4,0,20,1,0,1,0,3,0
SA19,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,4,0,19,2,0,4,0,0
SA20,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,23,0,4,1,0
SA21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,5,0,2,0,0,23,0,0,1
SA22,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,5,1,2,5,0,15,0,0
SA23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,5,0,5,0,1,2,0,17,0
SE06,0,1,0,0,0,3,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,25
