,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,18,0,5,2,0,0,2,0,0,2,0,0,1,0,1,0,1,0,1,0,0,1,0,0
SA02,0,20,0,0,3,3,0,0,2,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0
SA03,1,0,24,5,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA04,3,0,2,20,0,0,1,2,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0
SA05,0,1,0,0,22,3,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2
SA06,0,4,0,0,4,15,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,3,0,1
SA07,3,0,4,1,0,1,21,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
SA08,0,1,0,1,0,0,0,26,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0
SA09,0,8,0,0,1,1,0,0,18,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0
SA10,0,0,1,1,0,0,3,2,0,25,0,0,1,0,0,0,0,0,0,0,0,1,0,0
SA11,0,0,0,0,2,1,0,0,1,0,27,1,0,0,0,0,0,0,0,0,0,0,0,2
SA12,1,0,0,0,1,1,0,0,2,0,0,25,0,0,0,0,0,0,0,0,1,0,0,3
SA13,0,1,1,4,0,0,0,5,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0
SA14,0,1,0,0,0,1,0,0,0,0,0,1,0,22,0,0,0,0,7,2,0,0,0,0
SA15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,1,0,2,0,0,2,1,3,0
SA16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,2,3,0,0,3,0,4,0
SA17,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,21,0,4,0,0,4,0,0
SA18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,22,1,0,2,1,3,0
SA19,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,21,2,0,3,0,0
SA20,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,23,0,4,0,0
SA21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,24,1,2,1
SA22,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,2,1,1,6,0,19,1,0
SA23,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7,0,4,0,1,2,0,17,0
SE06,0,0,0,0,0,3,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,26
