,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,17,0,5,2,0,0,2,4,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0
SA02,0,19,0,0,3,3,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1
SA03,7,0,18,1,0,0,2,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SA04,3,0,3,12,0,1,2,4,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0
SA05,0,4,0,0,19,2,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
SA06,1,4,0,0,4,8,1,0,2,0,0,5,0,2,0,0,0,0,1,2,0,2,0,2
SA07,1,0,6,0,0,2,16,1,0,0,0,0,1,1,0,0,1,0,1,1,2,0,1,0
SA08,3,0,1,4,0,0,0,18,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0
SA09,1,1,0,0,4,4,0,0,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
SA10,2,0,8,0,0,1,2,0,0,17,0,0,1,0,0,0,2,0,0,1,0,0,0,0
SA11,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,1,0,0,6
SA12,1,1,0,0,4,1,0,0,2,0,3,15,0,0,0,1,0,0,1,0,0,0,1,4
SA13,3,0,0,7,0,0,1,2,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0
SA14,0,1,0,0,0,1,1,0,0,0,0,0,0,21,0,1,1,0,3,4,0,1,0,0
SA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,4,0,0,2,0,2,0
SA16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,16,0,8,0,0,2,1,2,0
SA17,0,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,17,0,3,1,0,5,0,0
SA18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,6,1,17,0,0,2,0,3,0
SA19,1,1,0,0,0,1,0,0,1,0,0,2,0,4,0,0,2,0,18,2,0,0,2,0
SA20,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,4,0,3,16,0,3,0,0
SA21,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,1,0,0,20,0,3,1
SA22,0,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,6,1,1,7,0,13,0,0
SA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,1,3,1,22,0
SE06,0,1,0,0,0,1,0,0,1,0,5,4,0,0,0,0,0,0,2,0,0,0,0,20
