,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,22,2,2,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
SA02,0,20,0,0,1,1,2,0,2,0,0,4,0,2,0,0,0,0,0,0,0,1,0,1
SA03,4,0,21,5,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SA04,0,0,7,20,0,1,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SA05,0,4,0,0,16,3,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4
SA06,0,1,0,0,3,14,1,0,1,0,1,3,0,0,0,0,2,0,2,0,0,2,1,3
SA07,2,1,0,2,0,3,17,0,1,1,1,0,0,0,1,1,0,0,0,3,0,1,0,0
SA08,2,0,0,3,0,0,0,19,0,1,0,1,6,0,0,1,0,0,0,0,1,0,0,0
SA09,0,3,0,0,4,0,0,0,21,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0
SA10,0,0,2,3,0,0,4,2,0,18,0,0,4,0,0,0,1,0,0,0,0,0,0,0
SA11,1,1,0,0,1,0,0,0,0,0,26,2,0,0,0,0,0,0,0,0,1,0,0,2
SA12,0,0,0,0,2,1,0,0,2,0,2,19,0,0,0,1,0,0,0,0,0,0,0,7
SA13,1,0,0,1,0,0,1,6,0,2,0,0,22,0,0,0,0,1,0,0,0,0,0,0
SA14,0,2,0,0,0,0,0,0,0,0,0,0,0,26,1,1,1,0,2,1,0,0,0,0
SA15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,1
SA16,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,22,0,2,0,0,2,0,2,0
SA17,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,1,24,0,1,0,0,2,0,0
SA18,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,20,1,1,1,0,4,0
SA19,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,3,0,18,2,0,4,0,2
SA20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,21,0,6,4,0
SA21,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,2,2,1,22,0,1,0
SA22,0,2,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,2,4,0,19,0,0
SA23,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,3,0,4,0,0,2,0,19,0
SE06,0,0,0,0,2,2,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,22
