,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,20,0,6,2,0,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SA02,0,19,0,0,3,1,1,0,4,0,1,2,0,0,0,0,1,0,0,0,0,0,1,1
SA03,6,0,17,2,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA04,4,0,3,13,0,0,1,5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
SA05,0,3,0,0,17,4,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
SA06,0,4,0,0,1,9,0,0,2,1,1,5,0,2,0,0,1,0,2,0,0,2,0,4
SA07,3,0,3,0,0,1,18,1,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,0
SA08,2,1,2,2,0,0,1,20,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0
SA09,1,1,0,0,9,3,0,0,10,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1
SA10,4,0,5,1,0,0,7,2,0,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0
SA11,0,0,0,0,0,3,0,0,1,0,25,2,0,0,0,0,0,0,0,0,0,0,0,3
SA12,1,1,0,0,0,5,0,0,5,0,2,15,0,0,0,0,0,0,0,0,0,0,0,5
SA13,1,0,0,9,0,0,2,6,0,1,0,0,14,0,0,0,0,0,0,0,0,0,1,0
SA14,1,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,4,0,3,6,1,0,0,0
SA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,2,0,0,0,0,2,0
SA16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,21,1,2,1,0,2,0,3,0
SA17,0,2,2,0,0,1,2,0,0,0,0,0,0,1,0,0,20,0,4,0,1,1,0,0
SA18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,1,19,0,0,2,0,4,0
SA19,1,1,0,0,0,0,1,0,0,0,1,1,0,5,0,0,4,0,15,3,0,1,0,1
SA20,0,0,0,0,0,5,0,0,0,1,0,0,0,6,0,0,4,0,3,12,0,3,0,0
SA21,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5,3,0,1,0,0,18,0,3,1
SA22,0,0,0,0,0,3,2,0,0,2,0,0,0,2,0,0,3,1,2,4,0,14,1,0
SA23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,1,22,0
SE06,0,0,0,0,2,0,0,0,1,0,4,7,0,0,0,0,0,0,1,0,0,0,0,19
