,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,24,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,0,0,1,0,0
SA02,0,19,0,0,3,0,0,0,4,0,1,1,0,1,0,0,0,1,1,0,0,0,2,1
SA03,2,0,21,3,0,0,1,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0
SA04,0,0,2,26,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0
SA05,0,0,0,0,18,4,0,0,5,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1
SA06,1,3,0,0,1,15,1,0,4,0,0,2,0,0,0,0,1,0,3,2,0,1,0,0
SA07,0,1,0,3,0,1,22,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,2,0
SA08,4,0,0,1,0,0,0,20,0,3,0,0,4,0,0,0,0,2,0,0,0,0,0,0
SA09,0,1,0,0,3,5,0,0,18,0,0,3,0,0,0,0,0,1,2,0,0,0,0,1
SA10,0,1,4,1,1,1,0,2,0,17,0,0,4,0,0,0,1,0,0,1,1,0,0,0
SA11,0,0,0,0,1,1,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,3
SA12,0,1,0,0,5,1,0,0,1,0,1,20,0,0,0,0,0,0,1,0,0,0,0,4
SA13,3,1,0,1,0,0,0,4,0,4,0,0,20,0,0,1,0,0,0,0,0,0,0,0
SA14,0,1,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,1,1,0,0,0,0,0
SA15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,1
SA16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,3,0,0,2,0,5,0
SA17,0,0,2,1,0,1,2,0,0,0,0,1,0,0,0,0,23,0,1,2,0,1,0,0
SA18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,20,0,0,3,0,4,0
SA19,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,20,2,0,5,0,1
SA20,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,26,0,1,0,0
SA21,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,26,0,1,0
SA22,0,1,1,0,0,3,0,0,0,0,0,0,0,2,1,0,3,0,3,2,0,18,0,0
SA23,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,2,0,5,0,1,3,0,18,0
SE06,0,3,0,0,0,2,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,24
