,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,17,1,6,5,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SA02,0,21,0,0,1,1,0,0,4,0,0,3,0,0,0,0,0,0,1,0,1,1,0,1
SA03,3,0,23,2,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SA04,5,0,4,22,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA05,0,3,0,0,18,3,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2
SA06,0,0,0,0,2,12,0,0,3,0,0,3,1,1,0,0,2,0,1,2,0,4,0,3
SA07,2,0,4,0,0,2,11,0,0,5,1,0,0,1,0,0,2,0,0,1,1,1,3,0
SA08,1,0,0,3,0,0,0,24,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0
SA09,0,3,0,0,3,2,0,0,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
SA10,3,0,1,1,0,0,3,3,0,18,0,0,1,0,0,0,0,0,0,1,0,1,0,2
SA11,0,0,0,0,1,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,5
SA12,0,3,0,0,4,1,0,0,4,0,1,18,0,0,0,0,0,0,0,0,0,0,0,3
SA13,1,0,0,3,0,0,0,3,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0
SA14,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,1,0,1,1,0,1,0,0
SA15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,31,0,0,0,0,0,0,0,1,0
SA16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,19,0,3,0,0,1,0,3,0
SA17,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,18,0,1,3,0,6,1,0
SA18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,2,19,0,0,2,0,4,0
SA19,0,2,0,0,0,1,0,0,0,0,0,2,0,1,0,0,2,0,18,3,1,4,0,0
SA20,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,3,15,0,8,1,0
SA21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,1,0,1,0,22,0,3,0
SA22,0,0,0,0,0,0,2,0,0,1,0,0,1,3,1,0,4,0,3,4,1,14,0,0
SA23,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,7,0,1,2,0,17,0
SE06,0,1,0,0,2,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,22
