,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,19,1,2,6,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0
SA02,0,22,0,0,1,0,1,0,4,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
SA03,3,0,23,4,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SA04,4,0,5,19,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
SA05,0,1,0,0,16,5,0,0,4,0,1,2,0,0,0,0,0,0,1,0,0,0,0,4
SA06,0,3,0,0,3,18,1,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,3
SA07,0,0,1,0,0,2,22,0,1,3,0,0,1,0,0,0,0,1,0,1,0,1,1,0
SA08,1,0,1,2,0,0,2,17,0,3,0,0,5,1,1,0,0,0,0,0,1,0,0,0
SA09,0,2,0,0,3,0,0,0,23,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1
SA10,1,0,0,1,0,0,1,2,2,21,0,0,4,0,0,0,1,0,0,0,1,0,0,0
SA11,0,0,0,0,1,4,0,0,1,0,23,2,0,0,0,0,1,0,0,0,1,0,0,1
SA12,0,0,0,0,3,1,0,0,2,0,0,20,0,0,0,1,0,0,0,0,0,0,1,6
SA13,1,0,0,1,0,0,0,7,0,1,0,0,22,0,0,0,0,1,0,0,0,0,1,0
SA14,0,2,0,0,0,0,0,0,0,0,0,0,0,27,0,1,1,1,2,0,0,0,0,0
SA15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,1
SA16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,23,0,2,0,1,3,0,2,0
SA17,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,1,23,0,1,0,0,3,0,0
SA18,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,1,17,1,0,3,0,5,0
SA19,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,4,0,17,2,0,3,0,2
SA20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,23,0,5,2,0
SA21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,2,0,23,0,2,0
SA22,0,1,0,0,0,3,1,0,0,0,0,0,1,1,0,2,1,1,4,1,0,18,0,0
SA23,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,4,0,3,0,0,1,0,21,1
SE06,0,0,0,0,2,2,0,0,1,0,4,3,0,0,0,0,0,0,0,0,1,0,0,21
