,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,15,0,4,3,0,0,1,3,0,3,0,0,3,1,0,0,0,0,0,0,0,0,1,0
SA02,0,17,0,0,1,0,1,0,5,0,1,4,0,0,0,1,0,2,1,0,0,0,0,1
SA03,2,0,19,3,0,0,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
SA04,5,0,1,20,0,0,1,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SA05,0,3,0,0,21,3,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
SA06,0,4,0,0,2,13,1,0,1,0,0,3,0,0,0,0,2,1,2,1,0,2,0,2
SA07,3,0,3,1,0,1,14,0,0,2,0,0,1,1,0,1,0,0,2,1,1,0,3,0
SA08,1,0,0,5,0,0,0,20,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0
SA09,0,4,0,0,1,6,0,0,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
SA10,1,0,4,5,0,0,3,1,0,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SA11,0,1,0,0,0,0,0,0,0,1,25,4,0,0,0,0,0,0,0,0,0,0,0,3
SA12,0,1,0,0,3,3,0,0,3,0,2,18,0,0,0,1,0,0,0,0,0,0,0,3
SA13,2,0,1,4,0,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
SA14,1,0,0,0,0,1,0,0,0,0,0,0,2,25,0,0,0,0,3,1,0,1,0,0
SA15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,1,0,4,0,0,1,0,3,0
SA16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,17,0,2,0,0,7,0,5,0
SA17,1,1,2,0,0,0,2,0,0,1,0,0,0,1,0,0,16,1,4,1,0,4,0,0
SA18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,21,0,0,3,1,1,0
SA19,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,1,21,1,0,2,0,0
SA20,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,3,0,6,18,0,1,0,0
SA21,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,5,0,3,0,0,17,1,2,1
SA22,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,5,1,0,3,0,19,0,0
SA23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,4,0,0,3,2,19,0
SE06,0,1,0,0,2,4,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,22
