,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,22,0,3,4,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
SA02,0,19,0,0,4,2,0,0,6,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
SA03,2,0,28,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA04,2,0,5,21,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
SA05,0,1,0,0,19,1,0,0,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4
SA06,1,2,0,0,4,14,2,0,1,0,0,2,0,0,0,0,1,0,2,1,0,1,1,2
SA07,5,0,0,1,0,3,19,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0
SA08,1,0,0,1,0,0,0,25,0,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0
SA09,0,2,0,0,3,2,0,0,21,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0
SA10,1,0,0,0,2,0,4,4,0,18,0,0,4,0,0,0,0,0,0,0,0,1,0,0
SA11,0,0,0,0,0,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,1
SA12,0,1,0,0,2,4,0,0,1,0,1,21,0,0,1,1,0,0,0,0,0,0,0,2
SA13,1,0,1,1,0,0,3,5,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0
SA14,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,4,2,0,1,0,0
SA15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,27,1,0,2,0,0,1,0,1,0
SA16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22,0,4,0,0,0,2,4,0
SA17,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,25,0,0,2,1,1,0,0
SA18,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,1,22,0,0,2,0,3,0
SA19,0,1,0,0,0,0,0,0,1,0,1,1,0,2,0,0,2,0,21,1,0,3,0,1
SA20,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,1,0,2,23,0,1,2,0
SA21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,25,1,1,1
SA22,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,3,3,1,21,0,0
SA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,1,0,25,2
SE06,0,1,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,26
