,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,24,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0
SA02,0,20,0,0,2,2,0,0,3,0,0,2,0,1,0,0,0,1,3,0,0,0,0,0
SA03,4,0,23,2,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SA04,2,0,7,21,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SA05,0,1,0,0,19,4,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
SA06,1,2,0,0,4,14,2,0,3,0,1,1,0,0,0,0,1,2,1,1,0,1,0,0
SA07,0,2,3,3,0,1,19,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0
SA08,2,0,0,2,0,0,0,21,0,3,0,0,4,0,0,0,0,1,0,0,1,0,0,0
SA09,0,3,0,0,3,2,0,0,21,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
SA10,1,1,5,3,0,1,0,1,0,15,0,0,6,0,0,0,0,0,0,1,0,0,0,0
SA11,0,0,0,0,1,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,3
SA12,0,1,0,0,2,1,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,1,5
SA13,2,1,2,4,0,0,0,5,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0
SA14,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,1,0,0,1,0,0
SA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,1
SA16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25,0,3,0,0,2,0,2,0
SA17,0,0,2,1,0,3,1,0,0,0,0,1,0,0,0,0,25,0,0,1,0,0,0,0
SA18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,23,0,0,3,1,5,0
SA19,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,22,2,0,5,0,0
SA20,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,3,25,0,1,0,0
SA21,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,26,2,1,0
SA22,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,3,3,0,20,1,0
SA23,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,1,0,3,0,1,3,0,20,0
SE06,0,1,0,0,2,4,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,22
