,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,22,0,4,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0
SA02,0,18,0,0,3,0,0,0,6,0,0,3,0,1,0,0,0,0,0,0,1,1,0,1
SA03,4,0,16,2,0,0,4,1,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0
SA04,5,0,1,17,0,0,4,2,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0
SA05,0,5,0,0,19,2,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1
SA06,0,2,0,1,3,14,2,0,3,0,1,3,0,2,0,0,1,0,1,1,0,0,0,0
SA07,3,1,1,0,0,0,21,0,0,1,0,0,0,0,0,1,1,0,0,2,1,1,1,0
SA08,1,0,1,1,0,0,0,24,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0
SA09,0,5,0,0,5,3,0,0,14,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
SA10,5,0,4,0,0,0,2,2,0,18,0,0,0,0,0,0,0,0,0,1,0,0,1,1
SA11,0,1,0,0,1,1,0,0,0,0,26,2,0,0,0,0,0,0,0,0,1,0,0,2
SA12,0,0,0,1,3,3,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,1,6
SA13,2,0,0,3,0,0,1,4,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0
SA14,1,0,0,0,0,1,1,0,0,0,0,0,0,20,0,1,1,0,5,3,0,1,0,0
SA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,8,0,0,3,0,0,0
SA16,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,21,0,3,0,0,3,0,3,0
SA17,0,0,2,0,0,3,1,0,0,1,0,0,0,1,0,0,16,0,3,1,1,5,0,0
SA18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,20,0,0,3,0,1,0
SA19,1,0,0,0,0,0,1,0,1,0,0,2,0,3,0,0,3,0,18,0,0,4,1,0
SA20,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,7,19,0,4,0,0
SA21,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,7,0,3,1,0,16,0,3,0
SA22,0,0,1,0,0,1,3,0,0,0,0,0,0,3,0,0,4,0,1,4,0,17,0,0
SA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2,0,0,3,3,18,0
SE06,0,2,0,0,0,3,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,23
