,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,19,0,3,7,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA02,1,20,0,0,3,1,0,0,4,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1
SA03,7,0,20,1,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
SA04,5,0,4,21,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SA05,0,1,0,0,23,2,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
SA06,0,1,0,0,2,16,0,0,3,1,0,0,0,1,0,0,2,0,4,0,0,2,0,2
SA07,3,0,4,2,0,3,15,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,2,0
SA08,1,0,0,3,0,0,0,18,0,4,0,0,7,0,0,0,1,0,0,0,0,0,0,0
SA09,0,4,0,0,5,4,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SA10,0,0,3,2,0,0,4,3,0,15,1,1,4,0,0,0,0,0,0,0,0,0,1,0
SA11,0,1,0,0,0,0,0,0,0,1,24,2,0,0,0,0,0,0,0,0,0,0,0,6
SA12,1,5,0,0,2,0,0,0,2,0,1,19,0,0,0,0,0,0,1,0,0,0,0,3
SA13,1,0,0,1,0,0,0,2,0,6,0,0,24,0,0,0,0,0,0,0,0,0,0,0
SA14,1,1,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,1,1,0,1,0,0
SA15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,2,0
SA16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,22,0,0,0,0,2,0,5,0
SA17,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,18,1,1,3,0,5,0,0
SA18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,1,21,0,0,1,0,3,0
SA19,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,3,0,18,1,0,5,0,1
SA20,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6,0,4,16,0,3,0,0
SA21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,26,0,1,0
SA22,2,0,2,0,0,1,3,0,0,0,0,0,0,2,0,0,5,0,2,3,0,14,0,0
SA23,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,7,0,7,0,0,1,2,13,0
SE06,0,1,0,0,0,3,0,0,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,21
