,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,15,0,8,4,0,0,1,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0
SA02,1,16,0,0,2,2,2,0,3,0,1,2,0,0,0,1,0,0,1,0,0,0,0,3
SA03,5,0,17,2,0,0,1,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SA04,4,0,5,9,1,0,1,3,0,6,0,0,3,0,0,0,0,1,0,1,0,0,0,0
SA05,0,6,0,0,18,3,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1
SA06,1,2,0,0,4,13,1,0,1,0,0,3,0,0,0,0,3,0,1,1,0,3,0,1
SA07,2,1,5,0,0,0,15,1,0,1,0,0,0,0,0,1,4,1,0,1,2,0,0,0
SA08,2,0,3,3,0,0,0,20,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0
SA09,0,4,0,0,7,1,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
SA10,3,0,4,4,0,0,0,5,0,14,0,0,2,0,0,0,0,0,0,0,1,1,0,0
SA11,0,0,0,0,1,2,0,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,4
SA12,1,2,1,0,5,2,0,0,2,0,2,12,0,0,0,0,0,0,0,0,0,0,0,7
SA13,1,0,2,4,0,0,0,3,0,1,0,0,21,0,0,0,0,1,0,0,0,0,1,0
SA14,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,5,2,1,1,1,0
SA15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1,0,2,0,0,2,0,0,0
SA16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,11,1,9,0,0,2,0,4,0
SA17,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,4,3,1,6,0,0
SA18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,24,1,0,0,0,2,0
SA19,0,1,0,0,0,1,0,0,1,0,1,1,0,3,0,0,2,0,19,0,0,4,1,0
SA20,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,4,0,4,13,0,7,0,0
SA21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,7,1,4,0,0,15,1,1,0
SA22,0,3,1,0,0,1,2,0,0,0,0,0,0,3,0,1,4,0,2,2,0,15,0,0
SA23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,5,0,1,6,1,10,0
SE06,0,1,0,0,4,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,23
