,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,22,0,4,2,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
SA02,1,17,0,0,0,0,0,0,9,0,0,2,0,0,0,1,1,0,1,0,0,0,1,1
SA03,5,0,20,2,0,0,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0
SA04,1,0,4,22,0,0,1,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0
SA05,0,1,0,0,20,4,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
SA06,0,1,0,0,3,16,0,0,2,0,1,2,0,3,0,0,1,0,0,2,0,2,0,1
SA07,1,0,3,0,0,2,17,0,0,0,0,0,0,2,0,0,4,2,0,1,0,1,1,0
SA08,0,0,0,4,0,0,0,23,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0
SA09,0,7,0,0,1,4,0,0,17,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
SA10,0,0,3,0,0,0,3,1,0,23,0,0,2,1,0,0,1,0,0,0,0,0,0,0
SA11,0,0,0,0,2,0,0,0,0,1,27,2,0,0,0,0,0,0,0,0,0,1,0,1
SA12,1,0,0,0,1,2,0,0,2,0,1,23,0,0,0,0,0,0,1,0,0,0,1,2
SA13,0,0,0,4,0,0,1,5,0,2,0,0,21,0,0,1,0,0,0,0,0,0,0,0
SA14,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0,1,2,1,1,0,1,1,0
SA15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,2,0,2,0,0,1,0,0,0
SA16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,19,0,2,0,0,4,0,6,0
SA17,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,21,0,2,2,0,3,0,0
SA18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,22,0,0,2,2,3,0
SA19,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,5,0,18,3,0,2,1,0
SA20,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,5,17,0,5,1,0
SA21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,1,0,22,1,3,0
SA22,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,3,1,0,3,1,21,0,0
SA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,2,0,1,2,2,19,0
SE06,0,1,0,0,0,2,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,26
