,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,20,0,5,5,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SA02,1,17,0,0,6,1,0,0,5,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
SA03,6,0,19,3,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
SA04,3,0,2,25,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SA05,0,4,0,0,19,2,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1
SA06,0,1,1,0,2,16,0,0,2,0,0,1,0,1,0,0,2,0,4,0,0,2,0,2
SA07,2,0,4,2,0,2,15,0,0,0,0,0,0,0,1,1,2,0,0,2,0,1,2,0
SA08,0,0,1,3,0,0,0,21,0,4,0,0,4,0,0,0,1,0,0,0,0,0,0,0
SA09,0,4,0,0,4,3,0,0,20,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
SA10,0,0,3,2,0,1,5,3,1,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0
SA11,0,1,0,0,0,1,0,0,1,1,22,1,0,0,0,0,0,0,0,0,0,0,0,7
SA12,1,2,0,0,3,1,0,0,3,0,1,21,0,0,0,0,0,0,0,0,0,0,0,2
SA13,2,0,1,1,0,0,0,4,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0
SA14,1,1,0,0,0,1,0,0,0,0,0,0,0,28,1,0,0,0,1,1,0,0,0,0
SA15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,2,0,0,0,0,2,0
SA16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,23,0,2,0,0,0,0,5,0
SA17,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,19,0,3,2,0,5,1,0
SA18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,23,0,0,3,2,1,0
SA19,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,21,1,0,3,0,1
SA20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,4,17,0,6,0,0
SA21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,26,1,1,0
SA22,1,0,1,1,0,1,2,0,0,0,0,0,0,1,0,1,4,0,3,3,1,15,0,0
SA23,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,12,0,0,1,1,15,0
SE06,0,0,0,0,1,2,0,0,2,0,3,5,0,0,0,0,0,0,1,0,0,0,0,20
