,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,22,1,2,6,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
SA02,0,20,0,0,4,0,0,0,4,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1
SA03,4,0,25,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SA04,1,0,2,26,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0
SA05,0,0,0,0,21,4,1,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1
SA06,0,2,1,0,4,13,1,0,2,0,0,1,0,0,0,0,1,0,2,2,0,2,1,2
SA07,3,0,1,1,0,4,18,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,2,0
SA08,1,1,0,0,0,0,0,27,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0
SA09,0,4,0,0,7,0,0,0,16,0,2,2,0,0,1,0,0,0,1,0,0,0,0,1
SA10,1,0,2,3,2,0,1,1,0,20,0,0,3,0,0,0,0,0,0,1,0,0,0,0
SA11,0,0,0,0,1,1,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,2
SA12,0,1,0,0,3,3,0,0,1,1,1,17,0,0,1,1,0,0,1,0,0,0,0,4
SA13,0,1,3,0,0,0,0,6,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
SA14,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,1,0,4,1,0,1,0,0
SA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,2,0,0,0,0,2,0
SA16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,19,0,3,0,0,3,0,5,0
SA17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,0,1,1,1,3,0,0
SA18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,17,0,0,3,1,6,0
SA19,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,22,1,0,4,1,0
SA20,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,5,21,0,2,0,0
SA21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,27,0,1,1
SA22,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,5,3,0,21,0,0
SA23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,26,3
SE06,0,0,0,0,1,2,0,0,1,1,2,1,0,0,0,0,0,0,2,0,0,0,0,24
