,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,15,0,7,2,0,0,2,1,0,2,0,0,2,1,0,0,1,0,1,0,0,0,0,0
SA02,0,11,0,0,8,1,1,0,3,1,0,4,0,0,0,2,0,0,1,0,0,1,0,1
SA03,2,0,18,3,0,0,1,2,0,3,0,0,1,1,0,0,2,0,0,1,0,0,0,0
SA04,4,1,5,14,0,0,2,1,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0
SA05,0,5,0,0,18,1,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
SA06,0,3,0,0,2,11,2,0,3,0,3,1,0,2,0,0,0,0,1,3,0,2,0,1
SA07,4,0,4,0,2,1,11,0,0,3,0,0,0,0,0,1,3,0,1,1,1,1,1,0
SA08,4,0,4,4,0,0,1,10,0,1,0,0,7,0,0,0,0,1,1,0,0,1,0,0
SA09,0,7,0,0,8,2,0,0,12,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
SA10,4,0,4,1,2,0,2,2,0,15,0,0,3,0,0,0,0,0,0,1,0,0,0,0
SA11,0,2,0,0,2,1,0,0,0,0,21,2,0,0,0,0,0,0,0,0,1,0,0,5
SA12,0,1,0,0,2,3,0,0,4,0,1,18,0,0,0,0,0,0,0,0,0,0,1,4
SA13,3,0,4,3,0,0,0,5,0,0,0,0,16,0,0,0,1,0,0,2,0,0,0,0
SA14,0,0,0,0,0,1,0,1,0,0,0,0,0,21,1,0,2,0,4,3,0,1,0,0
SA15,0,1,0,0,0,0,0,0,1,0,0,0,0,1,24,0,0,3,0,0,0,1,3,0
SA16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,19,0,2,0,1,3,0,6,0
SA17,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,22,0,2,0,0,4,0,1
SA18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,4,3,16,0,0,3,0,1,0
SA19,0,2,0,0,0,1,1,0,0,0,1,0,0,4,2,0,5,0,11,2,0,4,0,1
SA20,0,1,1,1,0,2,1,0,0,0,0,0,0,11,0,1,0,3,3,9,0,1,0,0
SA21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,2,0,1,0,19,0,5,0
SA22,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,7,2,2,4,0,13,0,0
SA23,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,6,1,7,0,1,2,0,13,1
SE06,0,2,0,0,2,2,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,19
