,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,16,1,7,4,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,1,0,0
SA02,0,23,0,0,3,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1
SA03,3,0,19,6,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SA04,1,0,2,20,0,0,2,2,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0
SA05,0,4,0,0,20,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
SA06,0,2,0,0,2,17,0,0,3,0,0,2,0,0,0,0,2,0,2,1,0,0,0,3
SA07,2,0,1,1,0,0,19,0,0,2,0,0,1,0,0,1,0,0,3,0,1,0,3,0
SA08,0,0,1,4,0,0,0,24,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
SA09,0,6,0,0,0,3,0,0,16,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1
SA10,2,0,6,1,0,0,2,1,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SA11,0,0,0,0,0,0,0,0,0,1,27,2,0,0,0,0,0,0,0,0,0,0,0,4
SA12,0,2,0,0,0,0,0,0,1,0,1,26,0,0,0,1,0,0,1,0,0,0,0,2
SA13,2,0,1,8,0,0,1,2,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0
SA14,1,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,8,0,1,1,0,0
SA15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,24,0,0,5,0,0,1,0,2,0
SA16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,11,0,5,0,0,5,1,8,0
SA17,0,1,1,0,0,1,2,0,1,1,0,0,0,2,0,0,16,0,5,0,0,4,0,0
SA18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,21,0,0,3,1,3,0
SA19,1,1,0,0,0,2,0,0,0,0,0,2,0,4,0,0,2,0,19,2,0,1,0,0
SA20,0,1,0,0,0,5,1,0,0,1,0,0,0,2,0,0,3,1,5,15,0,0,0,0
SA21,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,5,0,4,1,0,14,2,4,0
SA22,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,5,0,1,3,0,17,2,0
SA23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,2,0,1,2,2,22,0
SE06,0,1,0,0,1,4,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,20
