,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,13,1,5,6,0,0,2,1,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0
SA02,0,23,0,0,3,1,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
SA03,4,0,21,4,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
SA04,2,0,2,22,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SA05,0,5,0,0,19,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4
SA06,1,2,0,0,2,13,0,0,2,0,1,0,0,1,0,0,1,0,3,2,0,4,0,2
SA07,3,0,0,2,0,1,17,0,0,1,0,0,1,0,0,1,2,0,1,1,1,1,2,0
SA08,0,0,0,4,0,0,0,20,0,3,0,0,5,0,0,0,0,0,0,0,0,2,0,0
SA09,0,2,0,0,7,3,0,0,18,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
SA10,2,0,2,2,0,0,2,4,0,16,0,2,2,0,0,0,1,0,0,0,1,0,0,0
SA11,0,0,0,0,0,0,0,0,3,1,23,1,0,0,0,0,0,0,0,0,0,0,0,6
SA12,0,3,0,0,4,1,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,7
SA13,1,0,0,4,0,0,0,3,0,2,0,0,23,0,0,1,0,0,0,0,0,0,0,0
SA14,0,1,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,2,0,0,0,0,0
SA15,0,0,0,0,1,0,0,1,0,0,0,0,0,0,27,2,0,2,0,0,1,0,0,0
SA16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,22,0,1,0,0,1,1,4,0
SA17,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,21,1,1,1,0,4,0,0
SA18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,21,0,0,2,1,2,0
SA19,0,0,0,0,1,1,1,0,0,0,0,2,0,1,0,0,4,1,17,3,0,3,0,0
SA20,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,22,0,2,0,0
SA21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,27,0,1,0
SA22,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,2,1,1,22,0,0
SA23,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,5,0,6,0,1,0,1,16,1
SE06,0,0,0,0,2,3,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,23
