Rank,feature,q_anova,q_kw,log_q_anova,log_q_kw,score_min,score_max,score_geomean
3466,ADXL_X__permutation_entropy__dimension_5__tau_1,0.6473195042750256,8.98242378755961e-07,0.18888130713099163,6.046606458930741,8.98242378755961e-07,0.6473195042750256,0.0007625285642748923
3467,"GYRO_X__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",0.6480428010769871,1.8337478618627373e-14,0.18839630947247046,13.736660379532713,1.8337478618627373e-14,0.6480428010769871,1.090113343130183e-07
3468,"ADXL_X__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",0.6490780810178033,8.071184248513105e-13,0.18770305648857366,12.093062738529328,8.071184248513105e-13,0.6490780810178033,7.237975396176756e-07
3469,"ADXL_Y__fft_coefficient__attr_""abs""__coeff_0",0.6522920378142792,0.0048112953557936,0.18555792264940704,2.3177379818099455,0.0048112953557936,0.6522920378142792,0.05602115361322886
3470,"ADXL_Y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.653947102816349,3.434169333036286e-07,0.18445737993884198,6.464178294326484,3.434169333036286e-07,0.653947102816349,0.00047389503963639806
3471,"ADXL_Y__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",0.6585919286138796,0.0006083114646273,0.18138359609591986,3.215873998468107,0.0006083114646273,0.6585919286138796,0.020015719339729645
3472,"MMA_X__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.6591297587236807,0.0402225277845235,0.18102908017028413,1.3955306396474427,0.0402225277845235,0.6591297587236807,0.16282464504450644
3473,GYRO_Y__partial_autocorrelation__lag_6,0.6607969387117415,0.0075061257668223,0.17993197764844565,2.1245841631604336,0.0075061257668223,0.6607969387117415,0.07042744442546171
3474,ADXL_Y__partial_autocorrelation__lag_8,0.6607969387117415,5.906853437926923e-11,0.17993197764844565,10.22864380481333,5.906853437926923e-11,0.6607969387117415,6.2475840684227985e-06
3475,"ADXL_Y__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)",0.6624114575542975,1.2165919344064014e-122,0.17887216428239514,121.91485506708928,1.2165919344064014e-122,0.6624114575542975,8.977106641446044e-62
3476,GYRO_X__partial_autocorrelation__lag_5,0.6629349710060937,0.0314989557006034,0.17852907056705797,1.5017038443368573,0.0314989557006034,0.6629349710060937,0.14450522234196847
3477,"ADXL_Y__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",0.6645164317037204,4.257510980385578e-118,0.1774942756542457,117.37084422329144,4.257510980385578e-118,0.6645164317037204,1.6820184317138838e-59
3478,GYRO_Y__partial_autocorrelation__lag_4,0.6648515849271229,0.0001626393730772,0.1772752916005017,3.788774308433209,0.0001626393730772,0.6648515849271229,0.010398607837683373
3479,ADXL_X__variation_coefficient,0.6654111620962816,1.4405027072248125e-25,0.17690991823100388,24.841485921186628,1.4405027072248125e-25,0.6654111620962816,3.0960080432991485e-13
3480,"MMA_Y__fft_coefficient__attr_""abs""__coeff_0",0.6658237716829611,0.0031057115372646,0.17664070343222343,2.507838884599741,0.0031057115372646,0.6658237716829611,0.04547369095972751
3481,GYRO_Y__max_langevin_fixed_point__m_3__r_30,0.6664872685870581,0.014361773035364,0.17620814217689934,1.8427919408777436,0.014361773035364,0.6664872685870581,0.0978362861233347
3482,"GYRO_Z__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)",0.6665500049811631,3.7374203121655887e-25,0.17616726399541907,24.427428058428237,3.7374203121655887e-25,0.6665500049811631,4.991169730324419e-13
3483,"MMA_Y__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)",0.6666361482465151,3.571254319107174e-05,0.1761111404829494,4.447179221369221,3.571254319107174e-05,0.6666361482465151,0.004879269641758218
3484,MMA_Z__partial_autocorrelation__lag_6,0.6679978945144913,1.1757118378328491e-05,0.17522490638999208,4.929699109020401,1.1757118378328491e-05,0.6679978945144913,0.0028024507707149937
3485,"MMA_Y__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",0.6700638208045769,1.4316139416648701e-71,0.17388383057790396,70.84417408091724,1.4316139416648701e-71,0.6700638208045769,3.09721279163874e-36
3486,ADXL_Y__time_reversal_asymmetry_statistic__lag_1,0.675250625047198,8.018405595141478e-05,0.1705350051347012,4.095911979604989,8.018405595141478e-05,0.675250625047198,0.007358283352794477
3487,"GYRO_Z__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)",0.681426142947824,1.1506523616282843e-09,0.16658120871914742,8.939055866840324,1.1506523616282843e-09,0.681426142947824,2.800151068528565e-05
3488,ADXL_Y__partial_autocorrelation__lag_5,0.6815230056097846,2.7883364119318976e-08,0.16651947946137238,7.554654829917018,2.7883364119318976e-08,0.6815230056097846,0.00013785192824589105
3489,"MMA_Y__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",0.6845583425863682,3.066389935290132e-80,0.16458953250653044,79.51337261922173,3.066389935290132e-80,0.6845583425863682,1.4488349843324923e-40
3490,MMA_Z__max_langevin_fixed_point__m_3__r_30,0.6928898266133384,1.4349574491262448e-58,0.15933581516843073,57.84316097689769,1.4349574491262448e-58,0.6928898266133384,9.971295894328892e-30
3491,"MMA_Y__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",0.6939225454673332,8.28766950756712e-76,0.15868900210044776,75.0815675758785,8.28766950756712e-76,0.6939225454673332,2.3981244172650794e-38
3492,"ADXL_Z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",0.695463203534198,0.0116986946451847,0.15772584327768951,1.9318625946658217,0.0116986946451847,0.695463203534198,0.09019984287740483
3493,GYRO_Y__variation_coefficient,0.6974436025216427,1.5673936013964484e-15,0.15649090504922097,14.804821930493889,1.5673936013964484e-15,0.6974436025216427,3.3063100881909286e-08
3494,MMA_Y__quantile__q_0.1,0.7050906989380823,2.9749009677504625e-19,0.15175501419334336,18.526527487036397,2.9749009677504625e-19,0.7050906989380823,4.579929041614893e-10
3495,"ADXL_X__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",0.7051906892147572,5.377430549469548e-32,0.15169343041886904,31.26942518989948,5.377430549469548e-32,0.7051906892147572,1.9473350906777503e-16
3496,"MMA_Y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",0.7071432521097705,0.0079106523833835,0.1504925985103201,2.101787699205181,0.0079106523833835,0.7071432521097705,0.07479281016712579
