Rank,feature,q_anova,q_kw,log_q_anova,log_q_kw,score_min,score_max,score_geomean
5158,"MMA_Z__fft_coefficient__attr_""abs""__coeff_42",0.01506590191900453,0.6113229180539616,1.8220048642082105,0.21372932251906926,0.01506590191900453,0.6113229180539616,0.09596942807082175
5159,"MMA_X__fft_coefficient__attr_""abs""__coeff_9",0.17082060270908925,0.6125769228892365,0.7674597501384688,0.21283936804306144,0.17082060270908925,0.6125769228892365,0.32348223934803383
5160,"ADXL_Y__fft_coefficient__attr_""imag""__coeff_21",0.9998935931412524,0.6128525770157813,4.621437039735398e-05,0.21264398337490914,0.6128525770157813,0.9998935931412524,0.7828073615508389
5161,"MMA_Z__fft_coefficient__attr_""real""__coeff_57",0.7491320271141372,0.6129728958802821,0.12544163544586107,0.21255872846669463,0.6129728958802821,0.7491320271141372,0.6776412236993988
5162,"GYRO_X__fft_coefficient__attr_""imag""__coeff_52",0.8172034703410624,0.6133976775236801,0.08766979775817348,0.21225787269745172,0.6133976775236801,0.8172034703410624,0.7080047392295473
5163,MMA_X__percentage_of_reoccurring_datapoints_to_all_datapoints,0.5251710280629709,0.6134086695201674,0.2796992405022815,0.212250090273712,0.5251710280629709,0.6134086695201674,0.5675777141455128
5164,"ADXL_Y__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.9950670947796185,0.6140521655726193,0.00214763492246451,0.21179473267317728,0.6140521655726193,0.9950670947796185,0.7816796686875511
5165,"GYRO_X__fft_coefficient__attr_""angle""__coeff_80",0.6445032145282624,0.6149724853988725,0.19077491221530307,0.21114431464206868,0.6149724853988725,0.6445032145282624,0.62956472557316
5166,"MMA_Y__fft_coefficient__attr_""angle""__coeff_56",0.6347847196948901,0.6154778860338151,0.1973735359689567,0.2107875465442314,0.6154778860338151,0.6347847196948901,0.6250567633138441
5167,"ADXL_Z__fft_coefficient__attr_""angle""__coeff_30",0.6468838679804726,0.6159161299234928,0.1891736791801494,0.21047842223700888,0.6159161299234928,0.6468838679804726,0.6312101143648383
5168,"MMA_Y__fft_coefficient__attr_""real""__coeff_10",0.32631716154540247,0.6159161299234928,0.4863600853648103,0.21047842223700888,0.32631716154540247,0.6159161299234928,0.44831239472789897
5169,"MMA_X__fft_coefficient__attr_""imag""__coeff_34",0.5753804322206649,0.6159161299234928,0.2400449118636481,0.21047842223700888,0.5753804322206649,0.6159161299234928,0.5953033588407329
5170,"GYRO_Z__fft_coefficient__attr_""angle""__coeff_39",0.6331850872917048,0.6161491152871946,0.19846932214699892,0.21031417077480855,0.6161491152871946,0.6331850872917048,0.6246090227877188
5171,"MMA_Z__fft_coefficient__attr_""angle""__coeff_66",0.6455413033412897,0.6167869174531322,0.1900759652653517,0.20986484659485882,0.6167869174531322,0.6455413033412897,0.6310003411857646
5172,"ADXL_Y__fft_coefficient__attr_""abs""__coeff_8",0.6019184084380759,0.6177274874516704,0.22046237446749273,0.20920307312729058,0.6019184084380759,0.6177274874516704,0.6097717163786469
5173,"ADXL_Y__fft_coefficient__attr_""imag""__coeff_65",0.7491612698651982,0.618647116643047,0.1254246828699553,0.20855700686946854,0.618647116643047,0.7491612698651982,0.6807837097806824
5174,"MMA_Y__fft_coefficient__attr_""angle""__coeff_76",0.6906327653633232,0.618647116643047,0.16075282147029718,0.20855700686946854,0.618647116643047,0.6906327653633232,0.6536497295579903
5175,"MMA_Z__fft_coefficient__attr_""angle""__coeff_91",0.648179224958748,0.6200010900752742,0.18830489281995674,0.20760754693197153,0.6200010900752742,0.648179224958748,0.6339336132739533
5176,"ADXL_X__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",0.3035748474269379,0.6205098034289727,0.5177342145822564,0.20725135269631714,0.3035748474269379,0.6205098034289727,0.4340174753427212
