Rank,feature,q_anova,q_kw,log_q_anova,log_q_kw,score_min,score_max,score_geomean
3913,"MMA_Y__fft_coefficient__attr_""angle""__coeff_65",1.8024668954434297e-08,5.934880278987892e-08,7.744132702896062,7.226588037400097,1.8024668954434297e-08,5.934880278987892e-08,3.270691858199996e-08
3914,"ADXL_Y__fft_coefficient__attr_""imag""__coeff_69",6.031807626196076e-08,1.2402623863065302e-21,7.21955251796948,20.90648642703903,1.2402623863065302e-21,6.031807626196076e-08,8.649291369937697e-15
3915,MMA_Z__ar_coefficient__coeff_7__k_10,6.262407305910595e-08,4.7063158357212025e-08,7.20325868936094,7.327318931153138,4.7063158357212025e-08,6.262407305910595e-08,5.4288918458137646e-08
3916,"MMA_Z__fft_coefficient__attr_""imag""__coeff_77",2.082415625683847e-09,6.46930996546826e-08,8.68143258609993,7.189142039914166,2.082415625683847e-09,6.46930996546826e-08,1.1606804969277003e-08
3917,"MMA_Z__fft_coefficient__attr_""imag""__coeff_84",8.317303405175524e-09,6.511651105327906e-08,8.080017455689857,7.186308877020896,8.317303405175524e-09,6.511651105327906e-08,2.3272167477839005e-08
3918,"MMA_Y__fft_coefficient__attr_""angle""__coeff_91",4.68264146928477e-08,6.745697228083152e-08,7.32950909309813,7.170973155456875,4.68264146928477e-08,6.745697228083152e-08,5.6202919478850464e-08
3919,"ADXL_Y__fft_coefficient__attr_""angle""__coeff_66",2.588049059685717e-08,6.909595612994057e-08,7.587027495333768,7.160547369150308,2.588049059685717e-08,6.909595612994057e-08,4.228755423173327e-08
3920,"ADXL_Y__fft_coefficient__attr_""angle""__coeff_97",5.4660433929514716e-08,7.321861367053807e-08,7.262326924922068,7.1353784983571815,5.4660433929514716e-08,7.321861367053807e-08,6.326263664240615e-08
3921,"MMA_Y__fft_coefficient__attr_""angle""__coeff_81",7.439225404240955e-08,6.802276087324289e-08,7.1284722822198345,7.167345745121888,6.802276087324289e-08,7.439225404240955e-08,7.113625311715793e-08
3922,"ADXL_Y__fft_coefficient__attr_""angle""__coeff_72",3.0470633338068565e-08,9.038131430492259e-08,7.516118518787835,7.043921347545366,3.0470633338068565e-08,9.038131430492259e-08,5.247833732882576e-08
