,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15
D01,11,1,1,0,4,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
D02,3,12,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0
D03,0,0,13,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0
D04,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1
D05,3,1,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
D06,0,0,2,1,1,12,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1
D07,0,0,0,0,0,0,10,1,3,1,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D08,0,0,0,0,1,0,1,15,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
D09,0,0,0,0,0,0,3,4,9,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D10,1,0,0,0,1,0,0,10,0,6,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
D11,0,0,1,0,1,0,0,3,0,1,5,1,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
D12,1,0,0,0,0,0,0,1,0,0,0,12,0,7,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D13,0,0,4,0,0,0,0,0,0,0,0,1,15,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
D14,0,0,1,0,0,0,0,0,0,0,5,0,0,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D15,0,0,0,0,0,0,6,0,3,2,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D16,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D17,0,0,2,0,3,0,0,2,0,2,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
D18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,1,0,1,1,1,0,2,0,0,2,0,1
D19,1,0,0,0,1,1,0,2,0,1,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2,3,1,2,0,1,0,1,0,0,1,0,1
F02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2,0,0,2,2,0,0,0,3,0,0,1,1
F03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,0,0,0,5,0,0,0,0,1,2,0,1
F04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,9,1,0,0,1,0,1,0,0,0,0,0
F05,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,5,7,0,1,2,1,1,0,0,0,0,0
F06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,2,0,5,3,0,0,0,0,0,1,0,1
F07,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,4,8,0,1,0,1,0,1,0,0
F08,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,4,0,0,1,1,0,0,4,3,1,0,0,5,0,1
F09,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,3,0,0,6,3,0,4
F10,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,2,2,0,4,1,2,1,0,0
F11,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,9,1,0,2,3
F12,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,11,3,0,1
F13,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,1,0,0,1,0,6,1,0,0,3,3,0,0
F14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,1,0,14,1
F15,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,1,7,3,0,4
