,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15
D01,11,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
D02,4,9,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0
D03,0,0,13,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
D04,0,0,3,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,2,0,0
D05,4,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
D06,2,0,2,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
D07,0,0,0,0,0,0,6,1,4,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D08,1,0,0,0,0,0,0,13,0,5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
D09,0,0,0,0,0,0,2,6,8,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D10,1,0,0,0,2,0,0,6,1,9,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
D11,1,1,0,0,1,0,0,4,0,0,8,1,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D12,0,0,0,0,0,0,1,1,1,0,0,14,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D13,0,2,0,0,0,1,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
D14,0,0,0,0,0,0,0,0,0,0,5,1,0,15,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D15,0,0,0,0,0,0,9,1,2,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D16,0,0,0,0,0,0,8,0,3,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D17,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
D18,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1,0,1,0,1,3,0,1,0,0,0,0,0
D19,1,0,1,0,0,1,0,2,0,2,3,0,0,0,0,0,1,1,8,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
F01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,3,4,3,2,1,0,0,0,0,0,1,0,1
F02,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,5,0,0,0,1,0,0,1,1,0,0,0,0
F03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,0,3,3,0,2,0,0,1,1,0,0
F04,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,1,0,1,2,0,0,0,0,1,0,1
F05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,6,10,1,0,0,0,1,0,0,1,0,0
F06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,3,0,7,0,0,2,1,0,0,1,0,0
F07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,7,6,1,0,0,0,1,1,0,1
F08,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,2,3,4,3,0,1,2,0,2
F09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,7,3,0,3,3,0,2
F10,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,1,1,1,2,1,3,0,1,2,0,1
F11,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,2,1,2,0,4,0,0,3,0
F12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,0,10,3,0,1
F13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,1,4,3,2,0,1,4,0,1
F14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,2,0,0,15,0
F15,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1,4,2,1,5
